id,name,uri_x,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,playlist
4oXT61OL4mDPRXbjq2d7b1,Operator (Ring Ring) [feat. Dances With White Girls],spotify:track:4oXT61OL4mDPRXbjq2d7b1,0.00195,0.778,361070,0.933,0.807,9,0.602,-5.719,1,0.214,124.993,4,0.535,party
01fVbxyW9y2oKdXvg56uE5,Soul Sacrifice,spotify:track:01fVbxyW9y2oKdXvg56uE5,0.00783,0.847,232211,0.934,0.494,9,0.0797,-5.381,1,0.0442,126.035,4,0.863,party
2pNtIGopqr4wFDhpc9uAMC,NYP2,spotify:track:2pNtIGopqr4wFDhpc9uAMC,0.00395,0.642,427500,0.942,0.878,10,0.314,-5.463,1,0.0771,124.004,4,0.182,party
5TL9e2xgtvJFtNCBsq1CgX,Changa - Blanke Remix,spotify:track:5TL9e2xgtvJFtNCBsq1CgX,0.033,0.53,188471,0.789,0.119,9,0.272,-5.546,1,0.0431,110.086,4,0.0654,party
19VVmenPRBEdWwg0Vp2lKh,Gangster Trippin - Sultan + Shepard Remix,spotify:track:19VVmenPRBEdWwg0Vp2lKh,0.102,0.679,191160,0.985,0.0107,7,0.33,-3.357,1,0.0617,124.953,4,0.462,party
4gnH8nfdJfN115QAzzUc3E,Hey Pablo,spotify:track:4gnH8nfdJfN115QAzzUc3E,0.000749,0.805,249545,0.943,0.868,11,0.679,-6.503,0,0.0563,126.0,4,0.856,party
0q539WCnRoYHi3UnrH57cg,Antigone,spotify:track:0q539WCnRoYHi3UnrH57cg,0.00221,0.69,223286,0.992,0.649,1,0.547,-1.718,1,0.0734,126.001,4,0.503,party
5fzLwHFGmKeAgQ2cQ2bNXG,Cola - Club Mix,spotify:track:5fzLwHFGmKeAgQ2cQ2bNXG,0.00897,0.733,415652,0.688,0.624,6,0.325,-9.025,1,0.0518,121.998,4,0.342,party
1ZhpOYEE0nGcn0k7Ai7DK1,Dance and Chant,spotify:track:1ZhpOYEE0nGcn0k7Ai7DK1,0.000947,0.787,189677,0.863,0.617,9,0.103,-4.173,1,0.0492,124.036,4,0.821,party
7GkVQ8u2hJ1xMTSTqVZj2M,Javelin (Calling Out Your Name),spotify:track:7GkVQ8u2hJ1xMTSTqVZj2M,0.00422,0.51,182883,0.962,0.00116,9,0.587,-4.044,0,0.0557,129.944,4,0.359,party
0Jrt8JXIO1FnPxlBGcbSUN,1977,spotify:track:0Jrt8JXIO1FnPxlBGcbSUN,0.000582,0.874,205854,0.714,0.857,2,0.382,-4.592,1,0.0503,125.014,4,0.608,party
7H3bBj9Aoe91ezr7FSoR6W,Do It... The Way I Do It,spotify:track:7H3bBj9Aoe91ezr7FSoR6W,0.00117,0.754,242359,0.947,0.658,1,0.161,-3.231,1,0.103,115.988,4,0.596,party
